t,w1,w2,sigma
3.78574406688116e-10,-0.999999977069143,0.000302857231107297,1
1.9559677678886e-09,-0.99999938788641,0.0015647128433142,1
9.84293457389101e-09,-0.999984500716439,0.00787277738895427,1
1.9842934573891e-08,-0.999937018266652,0.0158678828420852,1
2.9842934573891e-08,-0.999857562255357,0.0238595370575415,1
3.9842934573891e-08,-0.999746146740461,0.031847613574815,1
4.9842934573891e-08,-0.999602786285498,0.0398319860412034,1
5.9842934573891e-08,-0.999427495959194,0.0478125282137881,1
6.9842934573891e-08,-0.999220291335026,0.0557891139614102,1
7.9842934573891e-08,-0.998981188490765,0.0637616172666428,1
8.9842934573891e-08,-0.998710204008023,0.0717299122277623,1
9.9842934573891e-08,-0.998407354971786,0.0796938730607154,1
1.09842934573891e-07,-0.998072658969933,0.0876533741010845,1
1.19842934573891e-07,-0.997706134092763,0.0956082898060499,1
1.29842934573891e-07,-0.997307798932497,0.10355849475635,1
1.39842934573891e-07,-0.996877672582782,0.111503863658237,1
1.49842934573891e-07,-0.996415774638189,0.119444271345433,1
1.59842934573891e-07,-0.995922125193694,0.127379592781078,1
1.69842934573891e-07,-0.995396744844156,0.135309703059683,1
1.79842934573891e-07,-0.994839654683794,0.143234477409072,1
1.89842934573891e-07,-0.994250876305644,0.151153791192323,1
1.99842934573891e-07,-0.993630431801016,0.159067519909715,1
2.09842934573891e-07,-0.992978343758941,0.166975539200656,1
2.19842934573891e-07,-0.992294635265612,0.174877724845622,1
2.29842934573891e-07,-0.991579329903813,0.182773952768088,1
2.39842934573891e-07,-0.990832451752346,0.190664099036451,1
2.49842934573891e-07,-0.990054025385446,0.198548039865961,1
2.59842934573891e-07,-0.989244075872191,0.206425651620635,1
2.69842934573891e-07,-0.988402628775902,0.214296810815184,1
2.79842934573891e-07,-0.987529710153534,0.22216139411692,1
2.89842934573891e-07,-0.986625346555068,0.230019278347673,1
2.99842934573891e-07,-0.985689565022883,0.237870340485696,1
3.09842934573891e-07,-0.984722393091131,0.245714457667574,1
3.19842934573891e-07,-0.983723858785096,0.253551507190125,1
3.29842934573891e-07,-0.982693990620551,0.261381366512297,1
3.39842934573891e-07,-0.981632817603108,0.269203913257065,1
3.49842934573891e-07,-0.980540369227553,0.277019025213323,1
3.59842934573891e-07,-0.979416675477184,0.284826580337772,1
3.69842934573891e-07,-0.978261766823132,0.292626456756805,1
3.79842934573891e-07,-0.977075674223681,0.300418532768391,1
3.89842934573891e-07,-0.975858429123575,0.30820268684395,1
3.99842934573891e-07,-0.974610063453323,0.315978797630229,1
4.09842934573891e-07,-0.973330609628494,0.323746743951174,1
4.19842934573891e-07,-0.972020100549005,0.331506404809797,1
4.29842934573891e-07,-0.970678569598395,0.33925765939004,1
4.39842934573891e-07,-0.969306050643108,0.347000387058634,1
4.49842934573891e-07,-0.967902578031748,0.354734467366957,1
4.59842934573891e-07,-0.966468186594344,0.362459780052888,1
4.69842934573891e-07,-0.965002911641595,0.370176205042655,1
4.79842934573891e-07,-0.963506788964117,0.377883622452678,1
4.89842934573891e-07,-0.961979854831677,0.385581912591415,1
4.99842934573891e-07,-0.96042214599242,0.393270955961198,1
5.09842934573891e-07,-0.958833699672091,0.400950633260066,1
5.19842934573891e-07,-0.957214553573249,0.408620825383598,1
5.29842934573891e-07,-0.955564745874471,0.416281413426736,1
5.39842934573891e-07,-0.953884315229556,0.423932278685609,1
5.49842934573891e-07,-0.952173300766709,0.431573302659351,1
5.59842934573891e-07,-0.950431742087732,0.439204367051917,1
5.69842934573891e-07,-0.948659679267197,0.446825353773892,1
5.79842934573891e-07,-0.946857152851619,0.454436144944296,1
5.89842934573891e-07,-0.945024203858615,0.462036622892389,1
5.99842934573891e-07,-0.943160873776064,0.469626670159469,1
6.09842934573891e-07,-0.94126720456125,0.477206169500664,1
6.19842934573891e-07,-0.939343238640008,0.484775003886724,1
6.29842934573891e-07,-0.937389018905856,0.492333056505807,1
6.39842934573891e-07,-0.935404588719118,0.499880210765258,1
6.49842934573892e-07,-0.933389991906052,0.50741635029339,1
6.59842934573892e-07,-0.931345272757955,0.514941358941256,1
6.69842934573892e-07,-0.929270476030271,0.522455120784416,1
6.79842934573892e-07,-0.927165646941693,0.529957520124704,1
6.89842934573892e-07,-0.925030831173248,0.537448441491987,1
6.99842934573892e-07,-0.922866074867386,0.544927769645922,1
7.09842934573892e-07,-0.920671424627054,0.552395389577707,1
7.19842934573892e-07,-0.918446927514771,0.559851186511827,1
7.29842934573892e-07,-0.916192631051687,0.5672950459078,1
7.39842934573892e-07,-0.913908583216642,0.574726853461911,1
7.49842934573892e-07,-0.911594832445212,0.58214649510895,1
7.59842934573892e-07,-0.909251427628757,0.589553857023938,1
7.69842934573892e-07,-0.906878418113451,0.596948825623852,1
7.79842934573892e-07,-0.904475853699316,0.604331287569349,1
7.89842934573892e-07,-0.902043784639239,0.611701129766477,1
7.99842934573892e-07,-0.899582261637989,0.619058239368389,1
8.09842934573892e-07,-0.897091335851227,0.626402503777046,1
8.19842934573892e-07,-0.894571058884505,0.633733810644924,1
8.29842934573892e-07,-0.892021482792261,0.641052047876705,1
8.39842934573892e-07,-0.889442660076806,0.648357103630975,1
8.49842934573892e-07,-0.886834643687309,0.655648866321906,1
8.59842934573892e-07,-0.884197487018765,0.662927224620944,1
8.69842934573892e-07,-0.881531243910968,0.670192067458483,1
8.79842934573892e-07,-0.878835968647469,0.677443284025541,1
8.89842934573892e-07,-0.876111715954532,0.684680763775427,1
8.99842934573892e-07,-0.873358541000077,0.691904396425403,1
9.09842934573892e-07,-0.87057649939263,0.699114071958347,1
9.19842934573892e-07,-0.867765647180245,0.706309680624402,1
9.29842934573892e-07,-0.864926040849444,0.713491112942627,1
9.39842934573892e-07,-0.862057737324127,0.72065825970264,1
9.49842934573892e-07,-0.859160793964497,0.72781101196626,1
9.59842934573892e-07,-0.856235268565957,0.734949261069135,1
9.69842934573892e-07,-0.853281219358022,0.742072898622375,1
9.79842934573892e-07,-0.850298705003206,0.749181816514175,1
9.89842934573891e-07,-0.847287784595914,0.756275906911434,1
9.99842934573891e-07,-0.844248517661323,0.763355062261366,1
1.00984293457389e-06,-0.84118096415426,0.77041917529311,1
1.01984293457389e-06,-0.838085184458065,0.777468139019336,1
1.02984293457389e-06,-0.834961239383461,0.784501846737838,1
1.03984293457389e-06,-0.831809190167406,0.79152019203313,1
1.04984293457389e-06,-0.828629098471943,0.798523068778034,1
1.05984293457389e-06,-0.825421026383045,0.80551037113526,1
1.06984293457389e-06,-0.822185036409452,0.812481993558984,1
