0.3,0.5699235
0.31,0.0612312
0.32,0.0810322
0.33,0.0433913
0.34,0.0461285
0.35,0.0477836
0.36,0.0510273
0.37,0.0807408
0.38,0.067457
0.39,0.0895063
0.4,0.054337
0.41,0.057018
0.42,0.0595181
0.43,0.0882125
0.44,0.1093282
0.45,0.1344277
0.46,0.07797
0.47,0.0695042
0.48,0.0860573
0.49,0.0808434
0.5,0.1046015
0.51,0.0902009
0.52,0.0924111
0.53,0.0850977
0.54,0.1536908
0.55,0.1045871
0.56,0.0890799
0.57,0.0959313
0.58,0.1238126
0.59,0.1274891
0.6,0.1200585
0.61,0.1028237
0.62,0.1099379
0.63,0.1307719
0.64,0.1100452
0.65,0.1094081
0.66,0.1140492
0.67,0.1125277
0.68,0.1274265
0.69,0.1415828
0.7,0.1173083
0.71,0.1630179
0.72,0.1275602
0.73,0.1729628
0.74,0.1420692
0.75,0.1351185
0.76,0.194633
0.77,0.1688943
0.78,0.1612376
0.79,0.1466121
0.8,0.1718616
0.81,0.1464441
0.82,0.1475942
0.83,0.1514792
0.84,0.1873039
0.85,0.1563148
0.86,0.2458743
0.87,0.2042066
0.88,0.2398443
0.89,0.1759903
0.9,0.1941685
0.91,0.2374285
0.92,0.1767118
0.93,0.1794756
0.94,0.1804659
0.95,0.1818466
0.96,0.2242654
0.97,0.2556604
0.98,0.2265287
0.99,0.1862868
1,0.2154567
