mQp,mUb,Uo,my1,my,h1,mUp,mQ0,y1,vol1,y2,vol2,dy,A1,Cvb,sumsqrt
0.000501938483264692,1,1,-5.62081627343819e-07,0.0299994379183727,0.5,0.000501938483264692,2.76504590920296e-05,-5.62081627343819e-07,0,0.0299994379183727,0,0.0344224669261733,0.0154,0.00015938,0.173205080756888
0.000503369950683917,1,1,0.00343732470406318,0.0296483879368785,0.5,0.000503369950683917,2.74875412339688e-05,0.00343732470406318,0,0.0296483879368785,0,0.0343054492053442,0.0154,0.00015938,0.161898311395812
0.000502267569047015,1,1,0.0068605928345416,0.0293079303411771,0.5,0.000502267569047015,2.73297727643189e-05,0.0068605928345416,0,0.0293079303411771,0,0.0341804916022486,0.0154,0.00015938,0.149824355518839
0.000502539397636171,1,1,0.0102722610816127,0.0289828275033913,0.5,0.000502539397636171,2.71776439170712e-05,0.0102722610816127,0,0.0289828275033913,0,0.0340455590143038,0.0154,0.00015938,0.136786572520034
0.00050316249558426,1,1,0.013670166250932,0.0286731582019352,0.5,0.00050316249558426,2.70317692526569e-05,0.013670166250932,0,0.0286731582019352,0,0.0338975646309334,0.0154,0.00015938,0.122486701118951
0.00050156970911309,1,1,0.0170502032304298,0.0283778501340561,0.5,0.00050156970911309,2.6892958849107e-05,0.0170502032304298,0,0.0283778501340561,0,0.0337314028842382,0.0154,0.00015938,0.106431418780482
0.000501607488162125,1,1,0.020413976190252,0.0281029426624151,0.5,0.000501607488162125,2.67623667731775e-05,0.020413976190252,0,0.0281029426624151,0,0.0335374077546771,0.0154,0.00015938,0.0876867519763565
0.000502559965278706,1,1,0.0237570164252299,0.0278514138617691,0.5,0.000502559965278706,2.66418807090073e-05,0.0237570164252299,0,0.0278514138617691,0,0.0332921356659032,0.0154,0.00015938,0.0639874787481052
0.00050284286366019,1,1,0.0270687617589864,0.0276305802032847,0.5,0.00050284286366019,2.65359127943219e-05,0.0270687617589864,0,0.0276305802032847,0,0.0328752144645796,0.0154,0.00015938,0.0237027096404256
0.000501634249367073,1,1,0.0303016966105153,0.027486149585977,0.5,0.000501634249367073,2.64670486674253e-05,0.0303016966105153,0,0.027486149585977,0,0.0320807523775339,0.0154,0.00015938,0.0530617284352696
0.000471170881452401,1,1,0.033496610255645,0.0273839330326343,0.5,0.000471170881452401,2.64174527772089e-05,0.033496610255645,0,0.0273839330326343,0,0.0297970782717244,0.0154,0.00015938,0.078183612240742
0.000471709454928206,1,1,0.036467454010696,0.0273033791709132,0.5,0.000471709454928206,2.63783088205817e-05,0.036467454010696,0,0.0273033791709132,0,0.02961549309614,0.0154,0.00015938,0.0957291744442769
0.000471513862789199,1,1,0.0394210378257153,0.0272388442026997,0.5,0.000471513862789199,2.63472103222374e-05,0.0394210378257153,0,0.0272388442026997,0,0.0294639392687559,0.0154,0.00015938,0.110372975057373
0.000472196782492941,1,1,0.0423613596611655,0.0271895072895351,0.5,0.000472196782492941,2.63230078039148e-05,0.0423613596611655,0,0.0271895072895351,0,0.0293314562127364,0.0154,0.00015938,0.123174073455538
0.000472028243284502,1,1,0.0452882910054407,0.0271519948874855,0.5,0.000472028243284502,2.63049241422487e-05,0.0452882910054407,0,0.0271519948874855,0,0.0292124698016238,0.0154,0.00015938,0.134671066372682
0.000471389767058657,1,1,0.0482033854501341,0.0271254786625401,0.5,0.000471389767058657,2.62923856187516e-05,0.0482033854501341,0,0.0271254786625401,0,0.029103685125445,0.0154,0.00015938,0.145182322572667
0.000470519839285,1,1,0.0511077876585666,0.0271092564241864,0.5,0.000470519839285,2.62849441500416e-05,0.0511077876585666,0,0.0271092564241864,0,0.029002962442503,0.0154,0.00015938,0.154914593355114
0.000471643747428083,1,1,0.0540044507903479,0.0271047937095526,0.5,0.000471643747428083,2.62822357169749e-05,0.0540044507903479,0,0.0271047937095526,0,0.0289088189957669,0.0154,0.00015938,0.16401114925759
0.000471167908217187,1,1,0.0568903826247273,0.0271078658547958,0.5,0.000471167908217187,2.62839558365302e-05,0.0568903826247273,0,0.0271078658547958,0,0.0288201771229755,0.0154,0.00015938,0.172576118770621
0.000471738290692374,1,1,0.0597687368652585,0.0271205832039396,0.5,0.000471738290692374,2.62898440278194e-05,0.0597687368652585,0,0.0271205832039396,0,0.0287362244106192,0.0154,0.00015938,0.180688000878085
0.00044520121636534,1,1,0.0626387512982781,0.0271412849704113,0.5,0.00044520121636534,2.62996734338948e-05,0.0626387512982781,0,0.0271412849704113,0,0.0269059839871559,0.0154,0.00015938,0.188407713026475
0.000444904970783732,1,1,0.0653254428115964,0.0271687701747526,0.5,0.000444904970783732,2.63131303919732e-05,0.0653254428115964,0,0.0271687701747526,0,0.0268342669473817,0.0154,0.00015938,0.195337330371959
0.000443905480691689,1,1,0.0680044027560908,0.0272024821261644,0.5,0.000443905480691689,2.63299344789923e-05,0.0680044027560908,0,0.0272024821261644,0,0.0267653659114675,0.0154,0.00015938,0.201994852978798
0.000443475503731776,1,1,0.0706771708887682,0.0272434053289073,0.5,0.000443475503731776,2.63499398963544e-05,0.0706771708887682,0,0.0272434053289073,0,0.0266989972048125,0.0154,0.00015938,0.208407690740675
0.000444852738473531,1,1,0.0733452258554165,0.0272925161861188,0.5,0.000444852738473531,2.63730131109375e-05,0.0733452258554165,0,0.0272925161861188,0,0.0266349216838628,0.0154,0.00015938,0.214598950764671
0.000444037043156621,1,1,0.0760047863789852,0.027345576175479,0.5,0.000444037043156621,2.6399031015945e-05,0.0760047863789852,0,0.027345576175479,0,0.0265729355244617,0.0154,0.00015938,0.220588327441654
